Variable,Importance,StDev
d_ban_box_X1,0.016778213708746825,0.0016357137701036352
division_West.North.Central,0.015093468728363712,0.0014604357227582655
d_if_deposit_limit_X1,0.010662358642972537,0.0014789586695220047
division_South.Atlantic,0.009877682898684514,7.362711663362299e-4
security_deposit_months,0.007777521347795991,0.0015076905398865683
d_homerule_X1,0.005331179321486246,4.6730802518618803e-4
median_year_structure_built_renter_bin_X1970,0.004223401800138482,0.0018560465144465182
density,0.004177244403415647,8.174045055243975e-4
d_state_medicaid_expansion_X1,0.0030925455804292736,9.863725163366038e-4
days_late_before_notice,0.0020309254558043,5.194843608319187e-4
